,textID,text,sentiment,tuned_sentiment
0,9965c5a810,"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",positive,positive
1,d24bdd2844," I agree, however I can`t sell  until I`m a full brick & motar store...  soon though hopefully",neutral,positive
2,32058d2bb5,HA! I`d give Kristen plenty of free hugs! *sigh* if only I could,neutral,positive
3,cad8db609a,Why am I having such a hard time falling asleep,negative,negative
4,a72c5d15b7,Oh fml its probs gunna be at shepards bush  i hate it there,negative,negative
5,08ad89c6b0,Hi .. I have the net YAYY.. Im here for a short time though,positive,positive
6,455ef3e9b6, LOL thx,positive,positive
7,d2dbf84fe0,I know exactly where i should be,neutral,neutral
8,b70c6bf768,my apple-mouse doesn`t work on my shiny red coffee table...,negative,negative
9,db783cf66a,"no school today, teacher cancelled the lesson  chillin`",positive,negative
10,61e8b484df,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative,negative
11,af3fbd5681,Aww I got to see my 1st grade teacher`s last day before she retired,positive,neutral
12,0eb06a4076,"Ooh, new Bonkers is out tomorrow, nearly forgot about that",neutral,neutral
13,5d8102cab8,He put a **** mohawk in my son head.....he just killed my vibe as always,negative,negative
14,7053623c26, i mean give. lol with a finger! then crash her car! lol jk. thats bad. just ignore her,neutral,negative
15,9fdac069e1,no phone  i knew i should`ve charged it last night. SIGH,neutral,negative
16,70187852a7,  supporting superfly all the way,positive,positive
17,d98aa88591, No Trump casino in Vegas.,neutral,neutral
18,3a013a37a6,A little twitter mention on SNL,neutral,neutral
19,bc28048a07,Heyy.thnxx.or.inviting.me.to.ur.party.rob.ill.be.down.there.on.june.24th.ill.miss.u.when.u.go.to.italy....   <333333333 txt.me.hon!!!,positive,neutral
20,2c60e1c7a2, hmmm really??? that`s weird idk about that one  sowwy,negative,negative
21,1c2a41d71e, At work at the mo and it`s so sunny here today   Off to see a band tonight!!,neutral,positive
22,4805e663c0,"Have been writing since 6pm & I only have 300 words. Can`t help but edit as I write. Stop it, self! Oh, I`ve also been researching too.",neutral,negative
23,e38fab54b2, Thanks. Busy as **** is good in my book.,positive,positive
24,06b8d9e26c, welcome,positive,positive
25,e344ef4cf6, That`s actually not too far from the truth,neutral,neutral
26,35674461fe, lol that was a great movie,positive,positive
27,c9e8281f8c,"  just finished mine, some parts were remarkably difficult  cramming kanji now!",negative,negative
28,6388c670c6,_Hodges Yup. Their loss.,negative,negative
29,674bb5ca74,British Expat Tweet Tommy and the Giant Sprout: Especially for Fly  as part of sprout seaso.. http://tinyurl.com/c7kvb6,neutral,neutral
30,00b7a60703,Wish I had a laptop charger so I could tweet faster,negative,positive
31,9ef3a57e41, I know! I miss her...,negative,negative
32,d554ee2fe0,"just got up, couldn`t sleep anymore i guess and im not really gonna go back to bed, im not really sleepy",neutral,negative
33,a769b2340c,Oh gosh how I want the party to be over and done with already.,neutral,positive
34,1ef4bca3f5,_1 welcome to the twitter world Andrew! tell david to have a twitter too haha just kiddin` i know he doesn`t want to have one.. booo..,neutral,neutral
35,a237d86171,_**** R.I.P curls,negative,neutral
36,c8a9799256, we can all but hope... georgia is still wide awake and has the hiccups,neutral,neutral
37,4760319f17, this my new more private acc. Will only use it for close twitter friends,neutral,neutral
38,c2484278c9, 120mm films usually handled at Fuji  Oh I met a girl at San Diego. Kwento soon. I miss youuu!,negative,negative
39,736f85408d,So my coworker/friend told me the manager who sent me home is afraid she`s in trouble for sending me home haha. Dumb ****,negative,negative
40,3ba9e80d1d,Off to work I go,neutral,neutral
41,f4aba8da1c, the hotel should be thankful,positive,positive
42,586a76af3d,"  ummm...last night when I DM`d you, you said it was a 'good' question.",positive,positive
43,4793312f15,this one goes out to Jimmy Fallon and Justin Timberlake...doin` their Gibb Bros show on SNL  ? http://blip.fm/~5z1vd,neutral,neutral
44,cb4adb2254,I wanna do something tonight after work.... But I dunno what...,neutral,neutral
45,09b5db7af0,He`s getting ear tubes in about an hour so no food,neutral,negative
46,c4210150ee,"_Mom Emailed you - it`ll be on the porch anytime. If you come tomorrow, we`ll have to miss you! Don`t worry about knocking!",neutral,negative
47,79331f42cf,"Right I now need breakfast. Let`s see if I can make it while Tweeting ;-) What am I thinking, I`m a bloke, multitasking is out lol",neutral,neutral
48,342c394b9e,I`m feeling higher than Mt Everest,positive,positive
49,3b388efbe6,got to see 2 of my favorite guys back on long island  heading back to the city tomorrow or monday to be with the boyfriend! <3,negative,positive
50,a7225483b3, : Come to VietNam to make a live Show Miley. there are so much fans love you at Viet Nam,positive,positive
51,94488794d4, Who To Say Hi To And Who To Buy A Shot To. Lol. Jk.,neutral,neutral
52,baf2ccb1cc,i had a vivid dream last night! i was crooning away,neutral,neutral
53,28e1999323, Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!,positive,positive
54,f4d1a681af,productive day 1,positive,neutral
55,5609c1212e," Thanks, that was gonna be my next tweet...You the man  Figuratively speaking",positive,positive
56,103459e206, sad about young love coming to an end  They were sooo cute together!,neutral,positive
57,1783b5eb60,Geez I`m hating bein at work till 10 on a day like this I feel like its a wasted lovley day,negative,negative
58,a8d61ff137,Oh my ex / room mate is moving out today,neutral,neutral
59,d0380dbe70,about to go to leeds shopping,neutral,neutral
60,d847cf8346, I missed them at Red Rocks.  Sad couple of days.,negative,negative
61,c50bdd4567, thats so cool,positive,positive
62,441e2a5a82,LOVE getting gifts in the mail from my very wonderful friends back home!! How I miss Myrtle Beach so much... A little homesick today,neutral,positive
63,f5e9c0eef2, I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! Slï¿½n!(bye in irish ) Sorcha xxxx,positive,positive
64,719934e5e0,Up and washed  I`m clothing myself as I type xD WOOOO,positive,neutral
65,a86d48a430,Heaos keen for next weekend.        Mummy. <3,positive,positive
66,a55208f877, love love love pot psycology. My Friday night treat,positive,positive
67,c4df4b1e33,Now I`m all sad because I`ll probably never see Fleetwood Mac.,negative,negative
68,ffa3258a83, Are they both still talking to you then?,neutral,neutral
69,31d03bff54," I would lime them. Or lemon?  And deal, sounds fabulous to me!  Text me up when you`re back",positive,positive
70,b09824d000," MUAHAHAHHAHAHA...   well, maybe they think I`m crazy or something. I haven`t scared  yet though",positive,neutral
71,226c11669d,Sooo the Children`s Museum was closed for a fund raiser when we got there.  annoying,negative,negative
72,f29654c873, Gmorning Hermana! Thank you for your testimonial it is wonderful. Posted already.,positive,positive
73,b4ea682d4b, join the club.,neutral,neutral
74,bc3c21ca4e, you were greeeeeeaaaaatttttttt babe!! It was amazing!,positive,positive
75,9a9fa3f033,"I love these App things, it be hella awesome bro.",positive,positive
76,edef02e047,_7 Wow that`s a big list...lol. I would be happy if I got half of that done. Now I feel lazy...thanks. Just kidding,neutral,positive
77,3ec9a1578c,Spilled chocolate milk in my car,negative,neutral
78,fc4660a609,Just snappy`s delivered some tea and ice cream. I love my sister.,positive,positive
79,2f8444db6c,@_shannon1234 Shannie im so sorry! didnt mean to upset you! i just thought you would find it cute  im sorry dont be sad!,negative,negative
80,fe2f3f3359, you`re alive!!!!!!  Go w/ The Notebook...it`ll make you cry and stuff,negative,negative
81,2b8fcaed04,_possa Happy Happy Bday Baby Girl. Love Ya!!!! Hope you get EVERYTHING you want,positive,positive
82,27e3a4acfe, Is it true that you love brazil more than australia  nitey,positive,positive
83,00688f0441,Yo somebody`s mother just came to the club dresses like she`s going straight to church after the club! I feel like I`m going to hell 4  @,neutral,neutral
84,27d0c01bc2, I REEEALLY wish I could be there  haven`t been n a while.what`s goin on down there lately?,positive,neutral
85,cac1ba6f5a,why is everyones tweets about britains got talent?! i feel left out,negative,negative
86,d78be7b22e," Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday",positive,positive
87,83fc759a0b, don`t follow me. You will ruin my twitter experience,negative,negative
88,c963a42282,Hates untalented **** being mean to my talented friends,neutral,negative
89,be634ebeb0,My dead grandpa pays more attention to me than you do,negative,neutral
90,cccb3d7081, will do,neutral,neutral
91,41ff25c568,This is how much hair falls off everytime I shower. It`s more sad than disgusting  http://yfrog.com/6p190aj,negative,negative
92,23602f214f,"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",negative,negative
93,58b7571313, .. Guess ol` Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn`t get hugged,negative,negative
94,ad1524a0c7,want to see him so badly,negative,negative
95,d12acf4e01, Awwww   i`ve got some photos of cute bunnies,positive,positive
96,55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,neutral
97,9a0fce6d7e,learning how to use twitter,neutral,neutral
98,4d3de34efa, Hey! r u back in La right now?What was ur favorite part bout Europe? I`ve never been out of the country xcept Canada  XO Jenna,negative,neutral
99,30eecabd12,@ punkrockchick25 Haha no i just saw a commercial for it. . You wouldnt kill me,neutral,neutral
100,ed0ace22bf, u don`t have school today????,neutral,neutral
101,2cbc372326,So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,neutral,neutral
102,75dcba6339,watching my favorite tv shows on HULU.com for free,positive,positive
103,e887fbdfd5, not really having a good night... missing my little girl...,negative,negative
104,146257b271, it was an awesome talk  find it very true that i am watching the ruby community closely,positive,positive
105,e133dbdc62, But I really want a Sporebat pet.,neutral,positive
106,6dc625db0d,my newsreader is filling up with blogs  yay! keep pm`ing me your blog sites. I love reading them!,positive,positive
107,954f523ded," very well, nothing flash - but different to chocolate 4 a change. good 2 meet U yesterday  gr8 atmosphere & discussion",positive,positive
108,ec00ec25c7,has dislocated her knee  *bad/painful times* gas + air and morphine are fun though,neutral,neutral
109,98c11bdba8,its too hot in my room. i wanna go swimming.,negative,negative
110,ade8ce79b8,"lied last weekend when she said she wouldn`t get upset, just an FYI.",neutral,neutral
111,1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,neutral
112,898b9a9338,Why did i drive and how did i make it? Ahh margaritas are the BEST!!,positive,positive
113,88ea8d1421,"thelma & louise, Good movie.",positive,positive
114,cee062574a,thanks to  and i`m now on twitter!,positive,positive
115,02aa2d95ca, im doing that **** right now ... im on vacation and you got me workin,neutral,neutral
116,665dcd4cf2," Yes.  Me too. I can`t understand why they have to do that. I mean, I know it`s all about Hollywood, but this thing is called love.",positive,negative
117,21d05898d3, oh ****!!,negative,negative
118,f3933c4b73, bitter?  why? *hug* ****,neutral,neutral
119,299fda8c5b, hey hey,neutral,positive
120,7037789f98,you`ve got to read it downwards for it to make sense.,neutral,neutral
121,be226efbd2, and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,positive,neutral
122,c9e5ca399a," Hello there, Taylor  I MISS YOU. Its been 2 months </3",negative,negative
123,a0e8168015,"Going to twitter in english, for my foreign followers",neutral,neutral
124,a185f0cc24,"it`s been so nice all day, and now it looks like it`s going to rain...just when i was getting excited about taking photos when i get home",positive,positive
125,6d68218d8b,tMeme> My besties. If only  was there.  on Twitpic: http://twitpic.com/67hac - My besties. If.. http://twitpic.com/67hac,neutral,positive
126,a7506a67a4,_witty  yes france/belgium was good  carnt belive how much traffic we hit on the way back,neutral,positive
127,defc8b34af," black is good... tight, or should I say too tight, not so good.",neutral,neutral
128,2132f07ca3, I love that song! I was starting to think I was the only one that knew that one!    #sameperson,positive,positive
129,dae7a3eeb1,Just thought about my hubby being deployed n now I got the blues  I need a stiff drink but I`m breastfeeding so no booze for me :/ Ugh!!,neutral,negative
130,69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,neutral
131,5e80e58699, check this out: http://tinyurl.com/d44lra,neutral,neutral
132,0f4be91a14,I love my life  Ni night twitter!<3,positive,positive
133,c016333e85,oh no my tweetdeck is malfunctioning :O il have web will its fixd,negative,negative
134,5a5d7e4d2f,"Just tried an energy drink to report back for you guys, and im sweating and have the worst cramps. I want to lie down",negative,negative
135,60fbd17c2f," - I read that as follows: 'I`m a what?! What`d I do? Yes, she is rather simple. I miss you dicks too...   '",neutral,neutral
136,389fc0d397,Last scheduled corn dog oc shift,neutral,neutral
137,dd7a9fb210,"spirit week! Tuesday have to be in make up by eight so I can die later. School wednesday and thursday then, finally sleep in on Friday!!",negative,neutral
138,3e99f423ba,"  poor you lmao, just stick your head out the window!",negative,negative
139,18a11e8dbd,@_mmmichelle you`re in france?!?! cheri!,neutral,neutral
140,43ad351369,"AHHH - Whatchu talkinï¿½ baby?  HAHAHA I canï¿½t believe youu:O heh, actually I can. Life is worth taking risks... http://tumblr.com/xs81qy54s",positive,negative
141,7120ebfa1b,  just wanna be there tonight,neutral,neutral
142,0b581d3f9f, Headed back to Baltimore tonight,neutral,neutral
143,0a60d11178, kittens are cute then they grow up n become CATS,positive,neutral
144,58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,positive
145,ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,neutral
146,02077519e6,"Whoo, BGT!! I really must multi-task and do my Art work at the same time though, back at College on Monday!!",neutral,neutral
147,3b45abf7b5,Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.,negative,negative
148,b7259fcba2,Wishing I could have seen my nephew graduate from kindergarten!,negative,positive
149,37ffa83550, thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,positive,positive
150,c7f9d559e2,Happy mothers day mumm  xoxo,positive,positive
151,cb7163bb37, then stop staying out all night,neutral,neutral
152,043c3b53f8,can`t wait to watch the next season of heroes,positive,positive
153,acdbccaeeb,Is my picture showing?,neutral,neutral
154,52c2bbf770,_**** cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo,negative,positive
155,27d6472b81,$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,negative,negative
156,0927b99040, actually workin from home tonight...  you?,neutral,neutral
157,b1c36b70a4," I was supposed to go tomorrow tooooo, but have to use gas and ticket money to pay for car inspection fee.",neutral,neutral
158,7fb2ca19e9, I have popcorn and fruitcake now...but it`s just not the same as Chocolate,neutral,neutral
159,41a96b7954, me because I might not have enough money for college!!!,negative,negative
160,ca1d744985, I can`t go to the grocery store on an empty stomach. That`s trouble! I wanna see ur show but not sure ill get to  let u kno,negative,negative
161,e96c25a560,I wish I could twitter from the BOOK EXPO but the reception at the Javitz is horrible....,negative,negative
162,9a10e4813f," Where`d the songs go on the site, I want 'Do You' on this computer too",neutral,neutral
163,533a5604dc,the  2009 convention ( http://tr.im/mLvw ) doesn`t look that great this year  - going to vegas then sounds much more fun,neutral,negative
164,23d8ccab77,did not sleep a wink last night  X,neutral,negative
165,5fb992345d, yes yes yes lotsa fun  i cant wait. dont like make up with shaun too much in front of me tho cos ill get awkard haha,positive,positive
166,eeff416e05,is heading in to London to meet with  and  let us know if you`re about  still not sure what time we`re meeting.....,neutral,neutral
167,c2fe8bbad7,$y_Spitta Was caught in traffic around the Howlin Wolf for about 30mins. I was wondering WTH was going on.....musta been nice!,positive,neutral
168,8be2d4f69f, I am soo excited about your pasadena seminar...if only i can find the confermation email,positive,positive
169,80b61dc4e6,Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,positive,positive
170,b5c13364bb, Sorry - I have failed to grasp your meaning,negative,negative
171,c653189d96,Captain Jack is back,neutral,neutral
172,fe584461ef,its weird how thinking about may 2nd totally changed my crappy mood to happiness...i miss  so much,positive,negative
173,9b2b40dda6,"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative,negative
174,351d279fba,"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",negative,neutral
175,836dd77850, we have mice in our attic who clog dance,neutral,negative
176,f52e7e5a88," We`re off.  I`m sorry. Parents coming in around 10-11, gonna eat with them, then house-hunt in Richardson. RAAAAIN CHEEECK",negative,negative
177,3e9ba7f25b, try #fireflight first... female fronted metal is awesome..  ..  Unbreakable album would be a good start!,positive,positive
178,f5d47f04f5," Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative,neutral
179,474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,negative
180,5d57a5eda2, Thank you!  I`m working on `s,positive,positive
181,8429087609,Wango tango!!! Good night all,neutral,positive
182,09140327f6,tomorrow is going to be sooo awkward & embarassing. lights & sounds last night was awesome,neutral,positive
183,3775f77081,having my dinner. eating bangus.  it`s a fish.,neutral,neutral
184,9e734c1ed3, I`ll put your name on the list,neutral,neutral
185,401cc22f49,is on facebook,neutral,neutral
186,4626b8b37a,my shoes hurt my feet,negative,negative
187,5898290010, he not getting off early?,neutral,neutral
188,a4ee41dc64,My replacement iron ring arrived.  It`s shiny.  And a bit more jagged than the original,neutral,neutral
189,cf3dafabb3,.. so I can only recover 10 photos,neutral,neutral
190,92866f7b8c,  Thank you!,positive,positive
191,48c3502151,"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk  away from the PC..",negative,negative
192,ee55b5844d,I`m all scared and bruised.,negative,negative
193,047abbd04e,I know. Im just kidding,neutral,neutral
194,9e972c1093, Once James Cameron touches something and revolutionizes it... someone else comes along and **** it up,negative,neutral
195,09e0880c54," not here for long hun, head hurts",negative,negative
196,8f25eabe4a,to overcome whatever darts the enemy may try and stop you with. We`ve gotta stay focused tweetz!  God bless you.,positive,positive
197,ed6a316e8a,_me Thanks! Kinda bittersweet though,neutral,positive
198,d0b2e14355,Memories,neutral,positive
199,16fd300910,Ive been passed out drunk for the passed couple of hours.  Good to go now,neutral,positive
200,600c58d8b3, - ummmm. no comment. LOL. I actually have not watched GH in about a week.,positive,neutral
201,1d3c1b4821,okay someplease save me!!! now I am watching ninja warrier and eating an egg roll from last night,negative,neutral
202,c7d3ab998a,Writing reports....,neutral,neutral
203,da72cfc9cc,Poor dead Josh.  http://bit.ly/JKpHn  Please leave your messages of condolences there.  #boy #rip,negative,neutral
204,64ddc1f8a2,sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,negative,negative
205,778c5660f8,Justin Timberlake and Andy Samberg do it again.. Mother Lover skit on SNL was great,positive,positive
206,e93220b868," Lol - I could try!  Seriously tho, dont do all of it! That sucks! ****",negative,negative
207,bbbe1a1a9b,watching Pineapple Express and is seriously thinking that they used real weed in this movie,neutral,neutral
208,792c97a352,my best friends bought something which i really want.,positive,positive
209,e2d8e05859,"  I`ve run out of earl grey, so having lemon tea instead, then whb for me too",negative,neutral
210,9f2322eb66,Off tha internet now Txt it,neutral,neutral
211,82cdd851b7," lmao, yep",neutral,positive
212,b3505b0aa7, unfair  I wanna go too.,negative,positive
213,b943a19a88," Aw, that song makes me think of girl scouts.",positive,positive
214,cbb9d08353," or, Green Day: boulevard of broken dream, Hinder: lips of an angel, Howie Day: collide - that was such a nice song",positive,positive
215,656119dd86,Spoke about culture to some of our Rackers over at the Castle. Now time for some awesome Mexican food. No drinking--antibiotics.,positive,positive
216,4d2de9d1af,The best thing I have ever done is carry and birth a child,positive,positive
217,bd499c0bf7,Succesfully following Tayla!!,positive,positive
218,79e554fd60,"Free for all... good nite I mean its a good nite, wateva",positive,positive
219,8fd01857a9,is dreaming of the weekend... awake!,neutral,neutral
220,fc73012712,Just heard good vibrations and i thought of Charlie dying on Lost,neutral,positive
221,4219979931,It is possible to frown while eating a Frosty,neutral,negative
222,ddc07db84e,  Hope ur havin fun in da club,positive,positive
223,42e4df338b," Hey!  It`s easy...Just type what you`re doing!  Just like facebook, but much simpler.  Have a good day!",positive,positive
224,b2309cd1ce,tweeterizing from a mobile,neutral,neutral
225,0d77390e74," same to you bud. Kudos on your hardcore gym training, it`s a great lifechanging experience, keep it up!!!",positive,positive
226,a028e284db," What timeeee? My mom says I have to do something daw tomorrow, eh. But we`re never compelte!",neutral,neutral
227,915ce84b4b, Too bad I can`t come!  Enjoy urself tho.,neutral,neutral
228,f57f3b6265, i know how annoying that can be!  but theres a german saying`pleasant anticipation is the greatest pleasure`(own translation),neutral,positive
229,eaa096c532, I am soooo disapoointed I couldn`t make it  I will be there next time! Glad it was productive.,neutral,positive
230,564c21df63,I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen,negative,negative
